epoch	loss	learning_rate
1.683	0.114	1.497e-05
1.685	0.09225	1.473e-05
1.688	0.09294	1.449e-05
1.691	0.08427	1.425e-05
1.693	0.07163	1.401e-05
1.696	0.08235	1.377e-05
1.699	0.07057	1.354e-05
1.701	0.1244	1.33e-05
1.704	0.05965	1.307e-05
1.707	0.09181	1.284e-05
1.709	0.06413	1.262e-05
1.712	0.08043	1.239e-05
1.715	0.0796	1.217e-05
1.717	0.123	1.195e-05
1.72	0.1175	1.173e-05
1.723	0.07354	1.151e-05
1.725	0.08251	1.129e-05
1.728	0.09086	1.108e-05
1.731	0.05677	1.087e-05
1.733	0.07256	1.066e-05
1.736	0.1175	1.045e-05
1.739	0.0873	1.024e-05
1.741	0.1077	1.004e-05
1.744	0.09092	9.837e-06
1.747	0.138	9.637e-06
1.749	0.09631	9.438e-06
1.752	0.0564	9.242e-06
1.755	0.1027	9.047e-06
1.757	0.1279	8.855e-06
1.76	0.08862	8.664e-06
1.763	0.1074	8.476e-06
1.765	0.1433	8.289e-06
1.768	0.1041	8.105e-06
1.771	0.08536	7.922e-06
1.773	0.04818	7.742e-06
1.776	0.06895	7.563e-06
1.779	0.05958	7.387e-06
1.781	0.05683	7.212e-06
1.784	0.09111	7.039e-06
1.787	0.06764	6.869e-06
1.789	0.06082	6.7e-06
1.792	0.1003	6.534e-06
1.795	0.1084	6.37e-06
1.797	0.03737	6.207e-06
1.8	0.06931	6.047e-06
1.803	0.09173	5.888e-06
1.805	0.05418	5.732e-06
1.808	0.11	5.578e-06
1.811	0.0575	5.425e-06
1.813	0.07526	5.275e-06
1.816	0.1147	5.127e-06
1.819	0.1038	4.981e-06
1.821	0.07915	4.837e-06
1.824	0.06498	4.695e-06
1.827	0.1056	4.555e-06
1.829	0.1036	4.417e-06
1.832	0.09703	4.282e-06
1.835	0.08218	4.148e-06
1.837	0.1232	4.016e-06
1.84	0.0956	3.887e-06
1.843	0.06971	3.759e-06
1.845	0.05822	3.634e-06
1.848	0.08663	3.511e-06
1.851	0.08396	3.389e-06
1.853	0.07996	3.27e-06
1.856	0.08395	3.153e-06
1.859	0.07711	3.038e-06
1.861	0.08448	2.926e-06
1.864	0.07286	2.815e-06
1.867	0.09274	2.706e-06
1.869	0.06649	2.6e-06
1.872	0.07933	2.495e-06
1.875	0.07671	2.393e-06
1.877	0.08955	2.293e-06
1.88	0.07887	2.195e-06
1.883	0.09002	2.099e-06
1.885	0.0675	2.005e-06
1.888	0.06688	1.914e-06
1.891	0.09266	1.824e-06
1.893	0.05186	1.737e-06
1.896	0.07236	1.651e-06
1.899	0.06462	1.568e-06
1.901	0.09156	1.487e-06
1.904	0.09547	1.408e-06
1.907	0.06398	1.331e-06
1.909	0.05876	1.257e-06
1.912	0.07157	1.184e-06
1.915	0.07748	1.114e-06
1.917	0.07415	1.046e-06
1.92	0.08074	9.797e-07
1.923	0.07877	9.158e-07
1.925	0.07768	8.54e-07
1.928	0.06652	7.944e-07
1.931	0.07192	7.369e-07
1.933	0.1044	6.816e-07
1.936	0.05783	6.284e-07
1.939	0.0399	5.774e-07
1.941	0.07769	5.285e-07
1.944	0.1001	4.818e-07
1.947	0.07238	4.373e-07
1.949	0.09149	3.949e-07
1.952	0.07119	3.546e-07
1.955	0.09266	3.165e-07
1.957	0.05623	2.806e-07
1.96	0.09411	2.469e-07
1.963	0.06629	2.153e-07
1.965	0.1263	1.858e-07
1.968	0.06445	1.585e-07
1.971	0.1307	1.334e-07
1.973	0.09783	1.105e-07
1.976	0.111	8.968e-08
1.979	0.1389	7.105e-08
1.981	0.08619	5.459e-08
1.984	0.08425	4.03e-08
1.987	0.05921	2.817e-08
1.989	0.07568	1.821e-08
1.992	0.06179	1.041e-08
1.995	0.05749	4.776e-09
1.997	0.1129	1.311e-09
2.0	0.06414	1.083e-11
